Period,Value
Jan-92,164095
Feb-92,164213
Mar-92,163721
Apr-92,164709
May-92,165612
Jun-92,166077
Jul-92,167257
Aug-92,167800
Sep-92,169400
Oct-92,170625
Nov-92,171003
Dec-92,173105
Jan-93,175108
Feb-93,173744
Mar-93,172306
Apr-93,176749
May-93,178426
Jun-93,178157
Jul-93,180743
Aug-93,180707
Sep-93,181773
Oct-93,182884
Nov-93,184747
Dec-93,186399
Jan-94,185142
Feb-94,188074
Mar-94,191579
Apr-94,191639
May-94,190929
Jun-94,193130
Jul-94,193743
Aug-94,196163
Sep-94,197765
Oct-94,199571
Nov-94,199731
Dec-94,200702
Jan-95,201573
Feb-95,198399
Mar-95,200247
Apr-95,201032
May-95,202986
Jun-95,205500
Jul-95,204920
Aug-95,206521
Sep-95,207006
Oct-95,206176
Nov-95,208664
Dec-95,210399
Jan-96,208699
Feb-96,212008
Mar-96,213891
Apr-96,214676
May-96,216299
Jun-96,216068
Jul-96,216332
Aug-96,216358
Sep-96,219256
Oct-96,221060
Nov-96,220963
Dec-96,221991
Jan-97,223481
Feb-97,225422
Mar-97,226161
Apr-97,224615
May-97,222929
Jun-97,226057
Jul-97,228703
Aug-97,229309
Sep-97,230312
Oct-97,229836
Nov-97,230440
Dec-97,231181
Jan-98,231587
Feb-98,231684
Mar-98,233083
Apr-98,235986
May-98,237075
Jun-98,238971
Jul-98,237411
Aug-98,236379
Sep-98,238550
Oct-98,242549
Nov-98,244291
Dec-98,246530
Jan-99,246868
Feb-99,249520
Mar-99,250667
Apr-99,252477
May-99,254735
Jun-99,255449
Jul-99,257456
Aug-99,260230
Sep-99,261317
Oct-99,261818
Nov-99,264965
Dec-99,269863
Jan-00,268044
Feb-00,272020
Mar-00,275192
Apr-00,271046
May-00,271394
Jun-00,273422
Jul-00,272630
Aug-00,272918
Sep-00,277548
Oct-00,276927
Nov-00,276029
Dec-00,275791
Jan-01,278834
Feb-01,278773
Mar-01,276450
Apr-01,280808
May-01,281496
Jun-01,280401
Jul-01,279504
Aug-01,281413
Sep-01,276084
Oct-01,294540
Nov-01,287111
Dec-01,283705
Jan-02,283508
Feb-02,285054
Mar-02,284262
Apr-02,288833
May-02,284951
Jun-02,287372
Jul-02,290385
Aug-02,292650
Sep-02,288410
Oct-02,289576
Nov-02,291484
Dec-02,293947
Jan-03,295248
Feb-03,291167
Mar-03,296325
Apr-03,295600
May-03,296410
Jun-03,299626
Jul-03,302747
Aug-03,307809
Sep-03,305933
Oct-03,304809
Nov-03,308527
Dec-03,307407
Jan-04,309254
Feb-04,311393
Mar-04,316912
Apr-04,313512
May-04,318964
Jun-04,314958
Jul-04,318549
Aug-04,318977
Sep-04,324569
Oct-04,326740
Nov-04,327836
Dec-04,331874
Jan-05,328696
Feb-05,333026
Mar-05,333581
Apr-05,336583
May-05,334522
Jun-05,343998
Jul-05,346576
Aug-05,343307
Sep-05,343956
Oct-05,344097
Nov-05,347325
Dec-05,347405
Jan-06,357331
Feb-06,354706
Mar-06,355665
Apr-06,357423
May-06,356704
Jun-06,357879
Jul-06,359006
Aug-06,360691
Sep-06,358961
Oct-06,358462
Nov-06,359266
Dec-06,363730
Jan-07,363616
Feb-07,364006
Mar-07,367158
Apr-07,366187
May-07,370934
Jun-07,368154
Jul-07,369614
Aug-07,371358
Sep-07,372869
Oct-07,375289
Nov-07,378860
Dec-07,374298
Jan-08,375236
Feb-08,371833
Mar-08,372745
Apr-08,372572
May-08,376036
Jun-08,376455
Jul-08,375038
Aug-08,372284
Sep-08,366729
Oct-08,352950
Nov-08,339350
Dec-08,332091
Jan-09,336929
Feb-09,335576
Mar-09,329747
Apr-09,331352
May-09,334256
Jun-09,339883
Jul-09,340517
Aug-09,346668
Sep-09,338507
Oct-09,341654
Nov-09,344375
Dec-09,346072
Jan-10,346043
Feb-10,346835
Mar-10,354360
Apr-10,357461
May-10,354255
Jun-10,353766
Jul-10,354844
Aug-10,356610
Sep-10,359646
Oct-10,363577
Nov-10,367198
Dec-10,369229
Jan-11,372025
Feb-11,375064
Mar-11,378576
Apr-11,380337
May-11,380219
Jun-11,383327
Jul-11,382954
Aug-11,383839
Sep-11,387758
Oct-11,390104
Nov-11,391393
Dec-11,391585
Jan-12,395641
Feb-12,400385
Mar-12,401654
Apr-12,400237
May-12,399367
Jun-12,395553
Jul-12,397650
Aug-12,402287
Sep-12,405455
Oct-12,405572
Nov-12,407386
Dec-12,408981
Jan-13,412420
Feb-13,417383
Mar-13,414116
Apr-13,412015
May-13,414466
Jun-13,415550
Jul-13,418500
Aug-13,417575
Sep-13,417861
Oct-13,419434
Nov-13,420688
Dec-13,422955
Jan-14,419245
Feb-14,425006
Mar-14,429468
Apr-14,433648
May-14,434471
Jun-14,435577
Jul-14,436347
Aug-14,439596
Sep-14,438665
Oct-14,440261
Nov-14,441328
Dec-14,438686
Jan-15,436395
Feb-15,435744
Mar-15,442131
Apr-15,443119
May-15,446198
Jun-15,446744
Jul-15,450243
Aug-15,450183
Sep-15,448506
Oct-15,447191
Nov-15,449027
Dec-15,450939
Jan-16,447626
Feb-16,452393
Mar-16,450886
Apr-16,452345
May-16,454211
Jun-16,459028
Jul-16,457977
Aug-16,458655
Sep-16,461741
Oct-16,462611
Nov-16,462194
Dec-16,468582
Jan-17,473392
Feb-17,473460
Mar-17,472283
